skos:prefLabel	skos:definition	rdf:type	skos:altLabel	skos:hiddenLabel	skos:narrower	skos:broader	skos:scopeNote	skos:changeNote
Alleluia	Mot hébreu qui signifie louez le Seigneur, Saint Jérôme est le premier qui ait introduit le mot alleluia dans le service de l'Eglise. Pendant longtemps, on ne l'employait qu'une seule fois l'année dans l'Eglise latine , savoir le jour de Pâques. Mais il était plus en usage dans l'Eglise grecque, où on le chantait dans la pompe funèbre des saints. Cette coutume s'est conservée dans cette Eglise, où l'on chante même l' alleluia pendant le carême. Saint Grégoire le Grand ordonna qu'on le chanterait aussi toute l'année dans l'Eglise latine ; ce qui donna lieu à quelques personnes de lui reprocher une prédilection marquée pour le rite des Grecs. Dans la suite, l'Eglise romaine supprima le chant alleluia dans l'office de la messe des morts , aussi bien que depuis la Septuagésime, jusqu'au graduel de la messe du samedi saint, et elle y substitua ces paroles : Laus tibi, Domine, rex oeternoe glorioe, comme on le pratique encore aujourd'hui. Haendel a composé sur ce thème un morceau de musique devenu célèbre. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Ambroisien (chant)	Lorsque saint Ambroise monta sur le siége épiscopal de Milan, en 374, il y avait incontestablement dans cette Eglise un ordre provenant d'un de ses prédécesseurs pour célébrer les saints mystères. Mais les cérémonies en étaient simples, sans fixité, conformes, en un mot, à l'état d'humilité des chrétiens, et à l'esprit qui les animait. Quelques-unes des parties de la liturgie n'étaient peut-être pas encore écrites, et certainement elles n'étaient pas toutes recueillies. Saint Ambroise leur donna la forme et la splendeur qui leur convenaient. Il organisa la liturgie dans le diocèse de Milan, et en fit un tout complet. Il composa des messes pour chaque circonstance, un grand nombre de préfaces où l'on voit en peu de mots les sujets des mystères et les actions des saints, beaucoup d'hymnes et d'autres prières. Quant à la psalmodie, il est constant qu'il établit, en 386, le chant alternatif des psaumes à l'imitation des Eglises orientales, et que, de Milan, il passa dans tout l'Occident, dont quelques contrées le possédaient encore dans le XIIe siècle, comme saint Ambroise l'avait noté. C'est ce saint prélat qui nous apprend lui-même cette institution dans sa lettre à sa soeur Marceline. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Amen	Ce terme hébraïque, qui signifie ainsi soit-il, a été adopté par les chrétiens dans plusieurs cérémonies religieuses. Quand le prêtre a terminé une prière, le peuple, en signe d'approbation, répond Amen. Ce mot est employé aussi pour désigner le dernier verset de plusieurs textes ecclésiastiques, tels que les psaumes, les hymnes, les motets, qui se terminent par le mot amen. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Apollon	Dieu des arts, des lettres et de la médecine, le plus beau, le plus aimable des dieux. On le peint souvent sur le Parnasse, aux milieu de neuf Muses, avec sa lyre en main et une couronne de laurier sur la tête. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Apollon (instrument)	C'est le nom d'un instrument en guise de luth à vingt cordes, inventé à Paris, en 1678, par un artiste nommé Promt. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Archichantre	Dignité ecclésiastique, directeur des chantres. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Archives musicales	Lieu où l'on garde toute espèce de compositions musicales nécessaires au service des chapelles, des académies, des cours, des théâtres, des maisons particulières. — Les archives musicales de la chapelle pontificale dans le palais Quirinal sont les plus riches et les plus importantes de l'Europe : on y compte 350,400 volumes, qui contiennent les compositions musicales des écoles romaine, vénitienne et napolitaine, et 300 volumes renfermant un choix précieux de documents de littérature musicale. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Basse-contre	Sorte de voix qui a le même timbre que la basse-taille, seulement elle a moins d'étendue à l'aigu et plus au grave. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Basse-figurée	Est celle qui se place sous une note longue comme la ronde, par exemple, divise les temps de la mesure en plaçant sous chacun d'eux une des notes formant l'accord plaqué de la mélodie qu'elle acccompagne. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Bataille	On donne ce nom à une sorte de composition musicale dans laquelle on cherche à imiter avec les sons les bruits de la guerre et les divers résultats d'une bataille. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Baton de mesure	C'est un bâton fort court, ou même un rouleau de papier, dont les chefs d'orchestres se servent pour marquer la mesure. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Carême, dimanche V	Cinquième dimanche de Carême, précédant immédiatement la Semaine sainte, souvent centré sur la perspective de la Passion du Christ.	skos:Concept	5e dimanche de Carême					
Chant figuré	C'est celui où l'on fait usage de notes d'une valeur mixte, par opposition au plain-chant qui est composé de notes principales et uniformes. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Chapelle pontificale	Dans le sens musical, cette expressisn indique, a Rome, les chapelains chanteurs, les chanteurs apostoliques, les chanteurs pontificaux. La fondation de la Chapelle pontificale remonte au règne de saint Grégoire le Grand. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Clavecin luth	(Inventé par Fleicher, à Hambourg, en 1715). — Clavecin monté d'un double rang de cordes en boyau. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Clavier (organologie)	Ensemble de touches que l'on enfonce à l'aide des doigts.	skos:Concept						
Neuvième	Intervalle dissonant de neuf degrés, ou l'octave de la seconde; il est de trois espèces : 1° la neuvième mineure, comme mi, clef de basse, troisième espace, et. fa, clef de violon, premier espace : 2° la neuvième majeure, comme do, clef de basse, et ré, au-dessus de la portée : 3° la neuvième augmentée, comme fa, clef de basse, quatrième ligne, et sol, clef de violon, seconde ligne. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Commun (liturgie)	Pour les célébrations liturgiques qui ne disposent pas d’un formulaire spécifique complet, on utilise, en totalité ou partiellement, les textes des « communs ». Ces communs regroupent des prières et lectures destinées à des catégories de figures religieuses telles que la Vierge Marie, les apôtres, les martyrs, les pasteurs, les docteurs de l’Église, les vierges, ainsi que les saints et saintes en général. À ces communs s’ajoute également celui dédié à la Dédicace des églises.	skos:Concept						
Onzième	Réplique ou octave de la quarte. Cet intervalle s'appelle onzième, parce qu'il faut passer onze sons diatoniques pour aller de l'un de ces termes à l'autre. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Quart de ton	Quatrième partie de l'intervalle d'un ton, qui n'est employée ni dans la mélodie ni dans l'harmonie, attendu que notre oreille n'est point habituée à mesurer ces petits intervalles. On dit, en parlant d'une intonation défectueuse, que le musicien monte ou baisse d'un quart de ton. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Treizième	Intervalle de treize degrés, ou l'octave de la sixte. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Unisson	Rapport de deux sons sur le même degré, c'est-à-dire d'égale élévation ou gravité. L'unisson est produit par un égal nombre d'oscillations de deux corps égaux vibrant dans un égal espace de temps. Si donc une corde faisant cent vibrations dans une seconde, rend un do, une autre corde de la même longueur et grosseur, ayant la même tension, fera dans le même temps le même nombre d'oscillations et rendra le même do. Ainsi, deux ou plusieurs voix ou instruments faisant entendre le même son, font des unissons. Le mot unisson, et son abréviation unis, s'écrivent dans la partie d'orgue pour indiquer que les notes doivent être jouées sans accompagnement, et que les octaves seulement doivent être redoublées. Le même mot, écrit dans une partition , indique que l'on doit jouer les mêmes notes qui sont écrites dans la ligne supérieure, ou inférieure, ou dans une partie que l'on indique. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Basse	Tessiture vocale ou instrumentale correspondant à la ligne la plus grave d'une musique.	skos:Concept						
Chapelle royale	Au château de Versailles il y eut cinq chapelles successives, en divers emplacements. La dernière et actuelle fut construite par Jules-Hardouin Mansart puis Robert de Cotte et achevée en 1710.	skos:Concept						
Haute-contre	Tessiture vocale ou instrumentale la plus aigüe. Les hautes-contres sont des ténors capables de chanter en voix de poitrine des parties extrêmement aigües correspondant à cette tessiture (uniquement en France).	skos:Concept						
Viole (famille d'instruments)	Famille d'instruments à archet et cordes, proche cousine des violons, elle se joue sur ou entre les jambes (da gamba) et possède six cordes. Elle existe en plusieurs tailles (dessus, alto, ténor, basse, contrebasse, etc.) La touche est frettée pour faciliter le placement des doigts.	skos:Concept						
Forme	Les compositions musicales se distinguent par leurs formes. La symphonie a une forme différente du concerto ; l'air a une toute autre forme que le rondeau, etc. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Art	Ensemble et disposition des moyens et des principes pratiques par lesquels l'homme fait un ouvrage, exécute un objet, exprime ses sentiments, sa pensée par voie d'imitation ou de sympathie. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Accents d'église	On appelait ainsi ces formules mélodieuses que dans l'ancienne Église on devait savoir par coeur, selon la ponctuation, à l'époque où l'on chantait les leçons évangéliques ou épistolaires ; ces formules étaient au nombre de sept : 1° l' accent immuable, quand la dernière syllabe d'un mot n'était ni élevée ni abaissée; 2° l'accent moyen, quand on chantait la dernière syllabe d'une tierce plus bas ; 3° l'accent grave, en la chantant d'une quarte plus grave ; 4° l'accent aigu, lorsqu'on chantait quelques syllabes avant la dernière, d'une tierce plus grave, et la dernière sur l'intonation précédente ; 5° l'accent modéré, chantant quelques syllabes avant la dernière, d'une seconde plus aiguë, et la dernière sur l'intonation précédente ; 6° l'accent interrogatif, lorsqu'on chantait la dernière syllabe d'une interrogation d'une seconde plus aiguë ; 7° l'accent final, quand les dernières syllabes descendaient par degrés vers la quarte sur laquelle devait tomber la syllabe finale. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
A cappella	"Signifie littéralement ""à la chapelle"". A l'époque baroque, cette expression désigne ""toute musique ou passage musical vocal avec ou sans accompagnememnt [...] dès lors que son exécution a lieu à la chapelle"" (Bouissou, Sylvie (1996). Vocabulaire de la musique baroque. Minerve.)"	skos:Concept						PMB23598
Abbaye	Couvent ou monastère dirigé par un Abbé ou une Abbesse. Désigne également le bâtiments de ce monastère.	skos:Concept						
Bureau d'abonnement musical	Bureau proposant des oeuvres musicales à la location.	skos:Concept						
Abrégé (ouvrage)	Ouvrage présentant le résumé d'une connaissance, d'une technique. (Le Robert)	skos:Concept						
Absoute	Rite liturgique chrétien célébré à la fin de la messe des défunts, consistant en des prières dites autour du cercueil avant l’inhumation, généralement accompagné d’aspersions d’eau bénite et d’un encensement.	skos:Concept	Dernier adieu			Liturgie des morts	Certaines œuvres musicales baroques comportent des pièces destinées à accompagner l’absoute, notamment dans le cadre des funérailles solennelles.	EP346687
Acciacatura	Agrément italien utilisé dans la musique des instruments à clavier.	skos:Concept						EP345645
Académie	Assemblée de gens de lettres où l'on cultive les Sciences et les beaux Arts. En France, il y a toutes sortes d'Académies établies par lettres patentes. (Furetière, Antoine (1701). Dictionnaire universel...)	skos:Concept	Institut					EP345646;PMB1100
Académie de danse	Assemblée de gens de lettres où l'on cultive la danse.	skos:Concept				Académie		EP345647
Académie de musique	On donne ce nom à plusieurs sortes d'institutions relatives à la musique. Appartiennent aux plus remarquables académies musicales : La Société philharmonique de Vérone, qui florissait déjà dans le seizième siècle; L'Académie philharmonique de Rome ; L'Académie philharmonique de Bologne, fondée en 1666; Le Conservatoire royal et l'Académie royale de musique de Paris ; L'ancienne Société de musique, fondée à Londres en 1710; L'Académie impériale de Saint-Pétersbourg; L'Académie royale de Stockholm; L'Académie de chant, fondée à Berlin en 1789 ; La Société philharmonique de l'empire d'Autriche, fondée à Vienne en 1812. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept				Académie		EP345648;PMB1101
Académie de peinture	Assemblée de gens de lettres où l'on cultive la peinture.	skos:Concept				Académie		
Académie de poésie	Assemblée de gens de lettres où l'on cultive la poésie.	skos:Concept				Académie		EP345649
Académie provinciale	"Établies par lettres patentes royales et placées sous la protection d’un grand personnage, les académies provinciales jouent un rôle central dans la sociabilité et la vie culturelle des villes de province. (""Les académies"" (en ligne). Les Essentiels. BnF)"	skos:Concept				Académie		EP345650
Académie scientifique	Assemblée de gens de lettres où l'on cultive les sciences.	skos:Concept				Académie		EP345651
Accent	L'accent en musique est une inflexion ou modification de la voix, ou de la parole, pour exprimer les passions et les affections, soit naturellement, soit par artifice. (Furetière, Antoine (1701). Dictionnaire universel...)	skos:Concept				Agrément		EP345721
Accentuation	Désigne l'ensemble des règles ou des pratiques qui organisent où et comment les accents apparaissent dans un morceau ou un style musical.	skos:Concept						EP345652
Accident	En musique les accidents sont des signes, appelés dièses, bémols, bécarres, doubles dièzes, doubles bémols, qui viennent altérer accidentellement les sons naturels de la gamme, pendant la durée de la mesure où ils sont placés. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept	Altération accidentelle##Note accidentelle					
Accompagnateur	Celui qui aide, soutient et relève à l'aide de la voix ou de l'instrument la partie principale d'un morceau de musique exécuté soit par la voix soit par un instrument. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept				Musicien		EP346426
Accompagnement	On entend par ce mot tantôt l'aide ou le soutien harmonique d'un chant ou d'une voix principale. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						EP345654;PMB1102
Accompagnement instrumental	Soutient harmonique d'un chant chant ou d'une voix principale par le biais d'un ou plusieurs instruments.	skos:Concept						EP345661
Accord	Désigne l'émission simultanée de sons.	skos:Concept				Harmonie		EP346029;PMB1104
Accord d'instrument	C'est tendre ou lâcher les cordes, allonger ou racourcir les tuyaux de l'orgue, de la flûte, du cor, tendre ou lâcher les peaux des timbales ; en un mot, c'est augmenter ou diminuer la tension des corps sonores, jusqu'à ce que toutes les parties de l'instrument soient au ton qu'elles doivent avoir. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						EP345662
Accordeur	On nomme accordeurs d'orgue ou de piano ceux qui vont dans les églises ou dans les maisons accorder ces instruments. Quand les accordeurs raccommodent aussi ces instruments, ils prennent le nom de facteurs. (Voyez FACTEURS.) (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Acoustique	Tel est le nom que l'on donne à la science des sons, à l'étude de leurs mesures, des moyens de les produire. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						EP345663;PMB1106
Acoustique des cordes	Il s'agit du domaine qui étudie la vibration des cordes, celles-ci produisant les sons instrumentaux.	skos:Concept	Vibration des cordes			Acoustique		EP345664
Acoustique architecturale	Il s'agit du domaine qui étudie et vise à maîtriser la propagation des sons dans les bâtiments.	skos:Concept	Acoustique d'un lieu			Acoustique		EP345682
Acte (opéra)	En musique et en poésie ce mot signifie une division du drame, qui sert à reposer l'attention du spectateur. — L'intervalle entre deux actes s'appelle entr'acte. (Voyez le mot OPERA.) (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						EP345685
Acte de décès	Document administratif officiel qui atteste de la mort d'une personne.	skos:Concept				Actes (documents)		
Acte de l'état civil	Document administratif officiel permettant de prouver l'identité d'une personne (un acte de naissance, de mariage, de décès, de reconnaissance d'enfant).	skos:Concept				Actes (documents)		EP345986
Acte de mariage	Document administratif officiel qui atteste d'un mariage.	skos:Concept				Actes (documents)		EP345987
Acte de naissance	Document administratif officiel qui atteste de la naissance de quelqu'un.	skos:Concept				Actes (documents)		
Acte de vente	Document administratif officiel, authentique et établi par un notaire, qui atteste de la vente d'un bien mobilier ou immobilier.	skos:Concept	Titre de propriété			Actes (documents)		
Acte notarié	Document administratif officiel rédigé et signé par un notaire.	skos:Concept				Actes (documents)		EP345989
Acteur	C'est le nom général donné par le public aux personnes qui paraissent sur le théâtre, depuis les premiers sujets de la tragédie, de la danse et du chant, jusqu'aux plus modestes comparses. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept	comédien##comédienne##tragédien##tragédienne					EP345686;PMB1109
Action	Expression des mouvements de l'âme par les mouvements et l'attitude du corps. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Action dramatique	Relate les événements qui font avancer l'intrigue.	skos:Concept				Action		EP345694
Activité musicale	Activité en rapport avec le domaine de la musique.	skos:Concept						EP345703
Actrice	Féminin de acteur.	skos:Concept				Acteur		EP345687;PMB1110
Adaptation d'oeuvre musicale	Résultat de la modification d'une ou plusieurs oeuvres préexistantes.	skos:Concept						EP345704
Administration d'une institution	Ensemble des activités de gestion, d’organisation et de coordination assurant le fonctionnement régulier d’une structure publique ou privée. Cela inclut la planification des ressources, la supervision du personnel, la tenue de la comptabilité, l’application des règlements, ainsi que la mise en œuvre des décisions stratégiques.	skos:Concept	gestion institutionnelle##direction administrative##organisation interne##gouvernance##intendance##secrétariat général			Vie artistique		EP347008
Adresse	Indication, désignation, soit de la personne à qui il faut s'adresser, soit du lieu où il faut aller ou envoyer. (Dictionnaire de l'Académie française. 4e édition)	skos:Concept						EP345705
Adresse d'éditeur	Indication du lieu où se situe la maison d'édition.	skos:Concept				Adresse		EP345706
Affections	La musique vit surtout d'affections et de sentiments. Le compositeur a principalement pour mission de traduire, en notes tour à tour vives, joyeuses, passionnées, plaintives et mélancoliques, les affections diverses qui agitent le coeur humain. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept	Affect##Sentiments			Expression des passions		EP346082;PMB1111
Affiche	Feuille imprimée et placardée afin de porter quelque chose à la connaissance du public.	skos:Concept						EP345707
Agnus Dei	On appelle ainsi une prière de la liturgie catholique romaine qui commence par ces mots, et que l'on chante ordinairement avant la communion. Suivant une bulle du pape Sergius 1er, de 688, elle doit terminer la messe. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept	Agneau de Dieu					
Agogique	Dérive du mot grec agoge qui indiquait chez les anciens la forme mélodieuse dans la marche successive des sons. Agogique désigne donc un changement de rythme dans l'interprétation d'un morceau.	skos:Concept						EP345708
Agrément	Signes ou petites notes ajoutés à la mélodie pour lui donner son caractère et son expression, mais n'entrant pas dans la mesure. [...] Il n'y a jamais eu d'accord sur leur nom et sur leur marque entre les théoriciens et les musiciens. les agréments les plus courants sont le tremblement ou cadence, le pincé, l'accent, le doublé, le coulé et le port de voix. (Benoit, Marcelle (dir.) (1992). Dictionnaire de la musique en France aux XVIIe et XVIIe siècles. Fayard.)	skos:Concept						EP345720;PMB1112
Air	Chant qu'on adapte aux paroles d'une chanson ou d'une pièce de poésie propre à être chantée et par extension l'on appelle air la chanson même. (Rousseau, Jean-Jacques (1768). Dictionnaire de la musique. Duchesne.)	skos:Concept	Air à chanter##Air vocal			Musique vocale		EP346603;PMB1113
Air à boire	Dans la musique vocale profane, air bref à une ou plusieurs voix, avec ou sans accompagnement, de structure binaire. D'allure vive souvent inspirée par un rythme de danse, il s'appuie sur un texte ayant obligatoirement un rapport avec le vin. (Benoit, Marcelle (dir.) (1992). Dictionnaire de la musique en France aux XVIIe et XVIIe siècles. Fayard.)	skos:Concept	Chanson bachique##Air bachique##Ronde de table			Air		EP346604;PMB1114
Air à danser		skos:Concept						EP345735;PMB1116
Air à manger		skos:Concept						PMB1117
Air de ballet	Genre vocal et chorégraphique intégré à un spectacle. (Benoit, Marcelle (dir.) (1992). Dictionnaire de la musique en France aux XVIIe et XVIIe siècles. Fayard.)	skos:Concept				Fragment d'oeuvre lyrique		EP346517
Air de comédie	Air inséré dans une pièce de théâtre à l'action de laquelle il participe. (Benoit, Marcelle (dir.) (1992). Dictionnaire de la musique en France aux XVIIe et XVIIe siècles. Fayard.)	skos:Concept				Fragment d'oeuvre lyrique		EP346518
Air de concert		skos:Concept						PMB1119
Air de cour	Genre vocal aristocratique de chambre au temps d'Henri IV et de Louis XIII. (Benoit, Marcelle (dir.) (1992). Dictionnaire de la musique en France aux XVIIe et XVIIe siècles. Fayard.)	skos:Concept				Air		EP346605;PMB1120
Air de dévotion	Chant fait de l'adaptation de paroles pieuses nouvelles à un air profane préalablement connu. (Benoit, Marcelle (dir.) (1992). Dictionnaire de la musique en France aux XVIIe et XVIIe siècles. Fayard.)	skos:Concept	Air spirituel			Air	Concerne les cantiques, stances chrétiennes, paraphrases, etc.	EP346609;PMB1128
Air de pantomime		skos:Concept						
Air d'opéra		skos:Concept						PMB1118
Air espagnol		skos:Concept				Air		EP346606;PMB1123
Air instrumental		skos:Concept				Musique instrumentale		EP346565;PMB1124
Air italien	Pièce vocale ABA, sur un texte italien et éventuellement français, généralement à une voix accompagnée d'une basse continue avec ou sans instruments de dessus (violons, flûtes). (Bouissou, Sylvie (1996). Vocabulaire de la musique baroque. Minerve.)	skos:Concept				Air		EP346607;PMB1125
Air napolitain		skos:Concept						PMB1126
Air patriotique		skos:Concept						
Air populaire		skos:Concept						PMB23126
Air sérieux	Dans la musique vocale de chambre, air à une ou plusieurs voix, généralement sur basse continue et de structure strophique, qui constitue dans une certaine mesure la continuité de l'air de cour. (Bouissou, Sylvie (1996). Vocabulaire de la musique baroque. Minerve.)	skos:Concept				Air		EP346608;PMB1127
Air tendre	Désigne un bref air mesuré et modéré, ordinairement à une voix avec basse continue. (Bouissou, Sylvie (1996). Vocabulaire de la musique baroque. Minerve.)	skos:Concept						
Air turc		skos:Concept						PMB1130
Allégorie	Figure de réthorique, qui est une métaphore continuée, quand on se sert d'un discours qui est propre à une chose pour en faire entendre une autre. (Furetière, Antoine (1701). Dictionnaire universel...)	skos:Concept				Poétique		EP346771
Allemande	Terme appliqué à plusieurs danses d'origine ou de caractère allemand entre les XVe et XIXe s. En France, le mot s'emploie dans au moins trois sens différents : 1. Une danse à quatre temps de la Renaissance. 2. Apparenté à celle-ci, un mouvement de la suite instrumentale en usage au XVIIe s., mais qui n'est pas dansé. 3. Une danse de bal en couple, à la mode en France à partir de 1760, bientôt associée à la contredanse. (Benoit, Marcelle (dir.) (1992). Dictionnaire de la musique en France aux XVIIe et XVIIe siècles. Fayard.)	skos:Concept				Air à danser		EP345736;PMB1133
Almanach	Calendrier ou tables où sont écrits les jours et les fêtes de l'années, le cour de la lune. (Furetière, Antoine (1701). Dictionnaire universel...)	skos:Concept						EP345763;PMB22894
Almanach musical	Publication annuelle spécialisée dans le domaine musical, contenant des articles, calendriers de concerts, notices biographiques, ou répertoires d’institutions musicales.	skos:Concept	almanach de musique					PMB1134
Almanach royal	Publication officielle annuelle de l’Ancien Régime listant les institutions royales, les membres de la cour, les charges de l’État et les maisons royales, ainsi que les principales personnalités du royaume.	skos:Concept				Almanach		EP345764
